VT("/I0/I17/I43<0>/InInt") (isig=3.5e-07) X,VT("/I0/I17/I43<0>/InInt") (isig=3.5e-07) Y,VT("/I0/I17/I43<0>/InInt") (isig=3.5e-08) X,VT("/I0/I17/I43<0>/InInt") (isig=3.5e-08) Y,VT("/I0/I17/I43<0>/InInt") (isig=8.5e-08) X,VT("/I0/I17/I43<0>/InInt") (isig=8.5e-08) Y
2.249185559181801e-08,1.793051057092058,3.165166612585419e-08,1.793054081334001,2.90841127773847e-08,1.793054137301918
2.379749142874999e-08,1.793054380103573,3.554241159480793e-08,1.793053624838562,3.193612963767223e-08,1.793053688295521
2.550798138571283e-08,1.793054746217594,4.050943729375209e-08,1.793053548765397,3.567676181504229e-08,1.793053553713831
2.790292770584344e-08,1.793054148650973,4.719553580642636e-08,1.793053580652886,4.095876613137358e-08,1.79305357117441
3.16300723554313e-08,1.793053656817832,5.699241927846828e-08,1.793053595866499,4.957603734949605e-08,1.793053598956226
3.797318194639291e-08,1.793053545571509,7.43230589004565e-08,1.793053592849611,6.49248124889546e-08,1.793053601423763
4.649735405219063e-08,1.793053589088193,1.089843381444329e-07,1.793053589313369,9.289071972914241e-08,1.793053597827581
5.878553774800553e-08,1.793053605045095,1.58984338144433e-07,1.79305358698693,1.357779339337813e-07,1.793053597072393
7.913966419479003e-08,1.793053601421102,2.08984338144433e-07,1.793053583893347,1.857779339337813e-07,1.793053596759276
1.19847917088359e-07,1.793053599763976,2.58984338144433e-07,1.793053579768714,2.357779339337812e-07,1.793053596208822
1.69847917088359e-07,1.793053600100571,3.08984338144433e-07,1.793053574227204,2.857779339337813e-07,1.793053595526597
2.19847917088359e-07,1.793053600125725,3.58984338144433e-07,1.79305356622056,3.357779339337813e-07,1.793053594717881
2.69847917088359e-07,1.793053600026033,4.089843381444329e-07,1.793053552881263,3.857779339337813e-07,1.793053593746082
3.19847917088359e-07,1.793053599907248,4.204482714362354e-07,1.793053548369771,4.357779339337813e-07,1.793053592563929
3.69847917088359e-07,1.793053599765683,4.433761380198404e-07,1.793053535126859,4.857779339337813e-07,1.793053591112454
4.19847917088359e-07,1.793053599587042,4.494341686303525e-07,1.793053530180141,5.357779339337813e-07,1.793053589311495
4.69847917088359e-07,1.793053599388063,4.615146458810493e-07,1.793053549655755,5.857779339337814e-07,1.793053587045321
5.19847917088359e-07,1.793053599096168,4.699911037419466e-07,1.793053551592509,6.357779339337814e-07,1.793053584133312
5.698479170883591e-07,1.793053598731188,4.781278140293951e-07,1.793053544207912,6.857779339337815e-07,1.793053580270051
6.198479170883591e-07,1.793053598322684,4.86706792514191e-07,1.793053531219859,7.357779339337815e-07,1.793053574884528
6.698479170883592e-07,1.793053597817805,4.986598171058983e-07,1.793053316339958,7.857779339337816e-07,1.793053566714315
7.198479170883592e-07,1.79305359726103,5.081635762347405e-07,1.793053284145646,8.357779339337816e-07,1.793053552010489
7.698479170883593e-07,1.793053596595349,5.197021610387356e-07,1.793053230830348,8.461486336055226e-07,1.793053547261824
8.198479170883593e-07,1.793053595801922,5.366905084344939e-07,1.793053073003999,8.664684830604185e-07,1.793053533126809
8.698479170883594e-07,1.793053594841271,5.434842669564409e-07,1.793052937735556,8.715977177438293e-07,1.793053527965232
9.198479170883594e-07,1.793053593637596,5.507141956540574e-07,1.793052698628315,8.812271361101626e-07,1.793053549924913
9.698479170883594e-07,1.793053592052704,5.535769287603503e-07,1.793052543727043,8.86775243431771e-07,1.793053554887323
1.019847917088359e-06,1.793053589817871,5.566901049026456e-07,1.793052269338234,8.924949524783454e-07,1.793053549947523
1.069847917088359e-06,1.793053586425128,5.584570415179529e-07,1.793052024209756,8.976836539473971e-07,1.793053539991232
1.119847917088359e-06,1.793053580962686,5.601853086730765e-07,1.793051652418568,9.048419503741356e-07,1.793053317872674
1.169847917088359e-06,1.793053571345754,5.617694200135438e-07,1.793051083494601,9.111622890371237e-07,1.793053286067791
1.199078255992767e-06,1.793053561319979,5.633258776645712e-07,1.793050092944924,9.175840564702483e-07,1.793053245305335
1.219340177871672e-06,1.793053558782832,5.652085829287678e-07,1.793047526504674,9.256477640545742e-07,1.793053158548186
1.224566269977647e-06,1.79305357054553,5.666829110394706e-07,1.793043132316664,9.31270650184523e-07,1.793053052308192
1.235018454189597e-06,1.793053568864334,5.676759759892183e-07,1.793038064044034,9.369236191440194e-07,1.793052843340275
1.240378069748615e-06,1.793053564803549,5.686010375353832e-07,1.793031275765555,9.390417818777387e-07,1.793052703396416
1.24647849082368e-06,1.793053558735775,5.692866376151421e-07,1.793025069907581,9.413232483865841e-07,1.793052492566119
1.249663782168232e-06,1.793053553985391,5.699301981662343e-07,1.793018741040751,9.425545292429637e-07,1.793052321739947
1.252720299263549e-06,1.793053547158188,5.706710446720342e-07,1.793011218935491,9.43774478248147e-07,1.793052072370342
1.256139690580613e-06,1.793053535105527,5.72152737683634e-07,1.792996080216677,9.448856499109496e-07,1.793051707534128
1.261417464845857e-06,1.793053503188096,5.735637557990914e-07,1.792981643832073,9.459621872367573e-07,1.793051099982527
1.265428239258164e-06,1.793053463645197,5.752812214451902e-07,1.792964067665842,9.472448383595163e-07,1.793049626577113
1.269861009100147e-06,1.793053391069574,5.761399542682396e-07,1.792955270086859,9.483103241663244e-07,1.793047068913151
1.273025594381833e-06,1.793053304715804,5.778574199143384e-07,1.792937579389375,9.489607261605862e-07,1.793044492918135
1.276218678828947e-06,1.793053145897547,5.783489499405276e-07,1.792932481146771,9.495931949123717e-07,1.793040822586779
1.277471111835743e-06,1.793053054985509,5.789619237988991e-07,1.792926066310534,9.501658807433868e-07,1.79303644543393
1.278807944558791e-06,1.793052920959555,5.7947367640802e-07,1.792920588850709,9.506627234830616e-07,1.793032047987195
1.279896269429845e-06,1.793052754098547,5.8002873361538e-07,1.792914501299883,9.511169165140884e-07,1.793027829790794
1.280690059059919e-06,1.793052568653842,5.809346063247452e-07,1.792904189406374,9.519713078553186e-07,1.793019806001026
1.281424735163482e-06,1.793052295174197,5.815823025121249e-07,1.792896606297903,9.53066163149903e-07,1.793009546159298
1.282236574377023e-06,1.793051731070439,5.821438127297315e-07,1.792889909850352,9.542799727490567e-07,1.792998218013178
1.283292787617118e-06,1.793049881526906,5.827548973977513e-07,1.792882575848231,9.551835322414516e-07,1.792989800763323
1.283681625446597e-06,1.793048736964216,5.834663222405303e-07,1.792873966194614,9.557369878348649e-07,1.792984639953894
1.284073623944676e-06,1.79304711548461,5.844140426278532e-07,1.792862445058317,9.561357357915419e-07,1.792980912871154
1.284439410020796e-06,1.793045014110708,5.85858445388144e-07,1.792844759898039,9.564685410029765e-07,1.792977789641341
1.284796087048547e-06,1.793042490861737,5.881479221608604e-07,1.792816427469577,9.567939355651724e-07,1.792974706666509
1.285089267437751e-06,1.793040194664179,5.906448711854723e-07,1.792785132732013,9.571453159006066e-07,1.792971295013189
1.285527745915075e-06,1.793036652643625,5.93140341791564e-07,1.792753469120791,9.575933515601404e-07,1.792966748934179
1.286404702869724e-06,1.7930295478339,5.9594753171042e-07,1.792717405089051,9.582143096452431e-07,1.792960115452165
1.2874348315539e-06,1.793021316944992,5.993395064151783e-07,1.792673209027643,9.58666166065916e-07,1.792955053632734
1.287949895895988e-06,1.793017211346536,6.034805962787721e-07,1.792618334895068,9.590771778506696e-07,1.792950341731036
1.288268462273175e-06,1.793014681563068,6.083861479681899e-07,1.79255201437637,9.595188724235696e-07,1.792945208725833
1.288502781138372e-06,1.79301282548077,6.141246846810455e-07,1.792472586069752,9.600214907847584e-07,1.792939279874091
1.288768036239983e-06,1.793010722532405,6.210383702381797e-07,1.792374167881791,9.606527436398569e-07,1.792931813757776
1.28900048111015e-06,1.79300884922383,6.300155033565464e-07,1.792241739922063,9.615138170130058e-07,1.792921546457362
1.289282535684614e-06,1.79300647936244,6.381256572512985e-07,1.792117366121001,9.628078350722291e-07,1.792906014939075
1.289673324696108e-06,1.793002919609783,6.458399569877118e-07,1.791994663606996,9.646674270884421e-07,1.792883469874487
1.290072101028041e-06,1.792998964696346,6.539345579482971e-07,1.791861051897158,9.666389251300088e-07,1.792859304607194
1.290381033934467e-06,1.792995699934458,6.63953301310495e-07,1.791688378191452,9.686354531675229e-07,1.792834583442186
1.290683347810574e-06,1.792992357553544,6.768633401307385e-07,1.791453088601832,9.708638406533097e-07,1.792806717374226
1.291008324846876e-06,1.792988680971523,6.933381185750426e-07,1.791129902783345,9.735392172942427e-07,1.792772894720972
1.291380708916886e-06,1.792984403135286,7.129560873379415e-07,1.790707306813982,9.76912674129618e-07,1.792729683123853
1.291838829013519e-06,1.792979062078249,7.369741111002827e-07,1.79012492189588,9.813164287792056e-07,1.792672322074133
1.29243197879886e-06,1.792972116543896,7.668469875826223e-07,1.789279161982134,9.873431140312271e-07,1.792592035555648
1.293243026509059e-06,1.79296253736568,8.035213016886224e-07,1.788002448886885,9.919545090759243e-07,1.792529168575225
1.294369328412659e-06,1.792949147600503,8.481433668626866e-07,1.785946297461071,9.961802665439913e-07,1.792470433545875
1.295737012286683e-06,1.792932757800664,8.981433668626866e-07,1.782592616531401,1.001206439889627e-06,1.792399131131061
1.297216206940311e-06,1.792914895782001,9.481433668626867e-07,1.77718745028544,1.007906880377399e-06,1.79230155746055
1.298896956078171e-06,1.792894451114251,9.981433668626867e-07,1.767118120687613,1.017157144934661e-06,1.79216190525835
1.301032686508185e-06,1.792868258552298,1.02590408773702e-06,1.756485883017283,1.028267944866545e-06,1.791986122832437
1.303519767078902e-06,1.792837458748671,1.045649125914469e-06,1.742962727969377,1.041522160685346e-06,1.791764069233817
1.305490467814455e-06,1.792812823866795,1.050740024817937e-06,1.73775988400375,1.057847310744306e-06,1.791470306655806
1.307470719052803e-06,1.792787862543268,1.060921822624874e-06,1.722730543058315,1.078077702316222e-06,1.791071423334362
1.309833608013029e-06,1.79275780310586,1.066816191555928e-06,1.708665966858994,1.102885412210526e-06,1.790521182767857
1.312974993106302e-06,1.79271736989435,1.073046793485973e-06,1.683825116548162,1.132980365957942e-06,1.789744153345638
1.317444736592027e-06,1.792658895466829,1.078077094707532e-06,1.64886180700441,1.169358448679243e-06,1.78859906976532
1.323316779893891e-06,1.792580344519232,1.081734785273035e-06,1.611530594620215,1.212836242818248e-06,1.786819411405936
1.330421528676939e-06,1.792482579618484,1.085347508788038e-06,1.56468982224506,1.262836242818248e-06,1.783913046992551
1.338955122383029e-06,1.792361030616342,1.089543447624294e-06,1.500111485599903,1.312836242818248e-06,1.779381597885309
1.349495583429495e-06,1.792204334200845,1.09375765523071e-06,1.426655532029433,1.362836242818248e-06,1.771435950819378
1.362527198886828e-06,1.791999862332496,1.097959178637622e-06,1.346669197950241,1.412836242818248e-06,1.753735694822627
1.378433917984557e-06,1.791732724734513,1.102634185949447e-06,1.251417807427798,1.422017559994417e-06,1.747625221426077
1.397681600916933e-06,1.791380703427403,1.107866706120027e-06,1.138785086751561,1.438255874771574e-06,1.730447922511849
1.420874675511436e-06,1.790908516831683,1.113523764244225e-06,1.011858306249568,1.442213769675477e-06,1.723912372473505
1.448614670704571e-06,1.790261852561116,1.119453701553574e-06,0.8751939472833099,1.449231424883227e-06,1.707127856921065
1.481302274921287e-06,1.789357373882023,1.125597939030963e-06,0.7319254875683426,1.453688818679652e-06,1.690190727848271
1.519075614684831e-06,1.788058934749357,1.131901758710284e-06,0.5856197987619237,1.458184995611894e-06,1.663526181591902
1.562107474335489e-06,1.786108872954582,1.138202471897776e-06,0.4429059574827175,1.462061886700837e-06,1.629041233053854
1.611192236468737e-06,1.782914401666762,1.144243377418017e-06,0.312726749264685,1.465561517953923e-06,1.587768668008732
1.661192236468737e-06,1.777730229943421,1.149786555800603e-06,0.2029268774429637,1.47051238430663e-06,1.515374898487842
1.711192236468737e-06,1.768219371060614,1.151010086416232e-06,0.180435446381167,1.475215441367147e-06,1.434850669216142
1.740961064781181e-06,1.757455201792493,1.153457147647488e-06,0.142145573299568,1.47935061861903e-06,1.356753540204837
1.761163368787094e-06,1.744298493223174,1.155584342210083e-06,0.1202808893256858,1.483851593093798e-06,1.265729385652253
1.76641665806452e-06,1.739215666921351,1.157324480073513e-06,0.108380735102333,1.488917093769841e-06,1.157465896404098
1.776923236619372e-06,1.724590383908807,1.159355163505871e-06,0.09825291540976168,1.494513003518068e-06,1.032605127968571
1.783090432598089e-06,1.710733235280421,1.161237887218261e-06,0.09083911656457665,1.500442115065248e-06,0.8963964424604
1.789625299145106e-06,1.685977205240292,1.163408423668174e-06,0.08365554291151969,1.506579783668168e-06,0.7533920211100963
1.794850931751747e-06,1.650743929099071,1.166296850580969e-06,0.07559789236415634,1.512872108095558e-06,0.607086909588063
1.798568608727044e-06,1.613373265559513,1.170287852418827e-06,0.06642223157236843,1.519185073805486e-06,0.4633754466666054
