,Rate,TotalHits,MissingHits,WithinPrevToT,Efficiency,ReadoutEfficiency,CPLow,CPHigh,RO_CPLow,RO_CPHigh
0,1.0,2117,2,1,99.90552668871044,99.95276334435522,99.65915077872863,99.98855679530678,99.73709819769617,99.99880407857377
1,2.0,4210,3,3,99.92874109263657,100.0,99.79189383069436,99.9853022886695,99.91241653695923,100.0
2,3.0,6314,2,1,99.96832435856827,99.98416217928413,99.8856240235133,99.99616370264668,99.9117892502543,99.99959902190014
3,4.0,8442,8,7,99.90523572613125,99.98815446576641,99.81336244934175,99.95907891649092,99.93401877513031,99.99970009748851
4,5.0,10458,13,12,99.87569324918722,99.99043794224517,99.78752547785551,99.93379581334163,99.94673526734987,99.99975790995087
5,6.0,12760,16,13,99.87460815047022,99.97648902821317,99.7964511507886,99.9283112732694,99.93130648944863,99.99515120992882
6,7.0,14907,20,16,99.86583484269134,99.97316696853828,99.7928684755868,99.91802978087563,99.93131116415084,99.99268843357312
7,8.0,16917,22,17,99.86995330141278,99.97044393213926,99.80317354784188,99.9184830439546,99.93103959023021,99.99040255105265
8,9.0,18906,31,27,99.83603088966466,99.9788426954406,99.76733897938003,99.88856459746044,99.9458378387133,99.99423505535412
9,10.0,20967,52,44,99.75199122430486,99.96184480373921,99.67489510333539,99.81472141026674,99.92483297035209,99.98352590119198
10,11.0,23095,52,42,99.77484303961897,99.95670058454212,99.70484013315789,99.83179769536238,99.92038529756073,99.97923435683283
11,12.0,25513,55,43,99.78442362717045,99.95296515501902,99.71948897844734,99.83755834900215,99.91785402092641,99.97569412286596
12,13.0,27499,87,65,99.68362485908578,99.9199970908033,99.60989665008987,99.74652122673909,99.87889954017129,99.94985602552106
13,14.0,29386,86,72,99.70734363302253,99.95235826584089,99.63869610757186,99.76584805311946,99.92007817206043,99.97395145093374
14,15.0,31831,103,78,99.67641607238227,99.92146021174328,99.60769556358568,99.73580585507219,99.88408146154254,99.94916694392035
15,16.0,33635,110,81,99.67295971458302,99.91378028839007,99.6059603980604,99.73113829037281,99.87619739689853,99.94224994036341
16,17.0,35811,171,119,99.52249308871576,99.85479321996034,99.44552896168102,99.59124720477068,99.80962368205944,99.89153420415975
17,18.0,37436,172,115,99.54054920397478,99.84774014317769,99.46671916143548,99.60652331610011,99.80277410064053,99.88466010206703
18,19.0,40231,229,140,99.4307872038975,99.77877755959335,99.35234726124249,99.50195708139664,99.7278362105966,99.8223037004556
19,20.0,41774,272,146,99.34887729209557,99.69837698089721,99.26702153590313,99.42375545371301,99.64098266746983,99.74867965008741
20,21.0,44898,493,168,98.90195554367678,99.27613702169361,98.80122023836088,98.9962901834015,99.19333898595,99.35246341937797
21,22.0,46036,755,198,98.35997914675471,98.7900773307846,98.2397744634978,98.4740280388532,98.68598458907589,98.88794735294556
22,23.0,48251,2110,195,95.62703363660857,96.03117033843857,95.44077003550494,95.8077824541239,95.85314906925674,96.20362601457914
23,24.0,50470,3788,229,92.49455121854567,92.94828611056073,92.2612399923526,92.72296089614052,92.72145845092071,93.17015906811177
24,25.0,52458,5605,214,89.31526173319608,89.72320713713829,89.04777528956521,89.5783892333647,89.4602018528459,89.98180788631893
