Event,Layer,Quadrant,X,Y,ToF,Energy,Col,Row,ToT,ToH,Twait
69,1,2,-9.8221,-0.7007,26.1964,0.2404,1,169,2,1726.1964,0.5378
70,1,2,-6.7931,-2.0047,26.0324,0.2228,19,145,2,1751.0324,24.836
73,1,2,-8.4394,4.0177,26.2195,0.2137,9,254,2,1826.2195,75.1871
74,1,1,-5.8812,-8.8377,26.0331,0.2226,24,21,2,1851.0331,24.8136
80,1,2,-9.33,-6.214,26.0952,0.2297,4,68,2,2001.0952,150.0621
80,1,2,-5.6089,6.1869,26.2992,0.2887,26,294,2,2001.2992,0.204
81,1,2,-8.4538,-0.4761,25.9736,0.3479,9,173,2,2025.9736,24.6744
81,1,2,-6.2688,-4.2303,26.21,0.2234,22,104,2,2026.21,0.2364
81,1,2,-9.012,-0.4976,26.2348,0.242,5,172,2,2026.2348,0.0248
81,1,1,-7.4628,-8.9998,28.5727,0.2497,15,18,2,2028.5727,2.3379
81,1,2,-7.1384,5.5519,30.9462,0.3006,17,282,2,2030.9462,2.3735
83,1,1,-6.047,-5.2744,26.2088,0.2025,23,85,2,2076.2088,45.2626
86,1,2,-7.4096,-8.0757,26.0071,0.343,15,34,2,2151.0071,74.7983
86,1,1,-6.5147,-0.1089,26.3247,0.2316,21,179,2,2151.3247,0.3176
88,1,1,-8.6017,-5.7189,26.0715,0.7491,8,77,2,2201.0715,49.7468
88,1,1,-8.7417,-7.5963,26.2522,0.2678,7,43,2,2201.2522,0.1807
90,1,1,-7.448,1.1148,26.0709,0.2748,15,202,2,2251.0709,49.8187
92,1,2,-5.4955,6.2554,26.302,0.2003,27,295,2,2301.302,50.2311
94,1,1,-8.0114,0.5546,25.9859,0.3495,12,191,2,2350.9859,49.6839
94,1,2,-9.3819,-6.6613,26.182,0.3484,3,60,2,2351.182,0.1961
100,1,1,-7.5664,-2.7898,26.0886,0.243,14,131,2,2501.0886,149.9066
100,1,2,-7.6289,6.9675,26.3347,0.2411,14,308,2,2501.3347,0.2461
101,1,2,-9.4928,-7.5718,25.9219,0.2882,3,44,2,2525.9219,24.5872
101,1,1,-8.6541,7.0839,26.1515,0.2869,8,310,2,2526.1515,0.2296
102,1,2,-9.6076,2.6644,26.1621,0.2329,2,230,2,2551.1621,25.0106
103,1,2,-7.2606,-4.7808,25.9903,0.2169,16,94,2,2575.9903,24.8282
103,1,1,-8.0267,-8.0142,26.2621,0.2225,11,36,2,2576.2621,0.2718
105,1,1,-6.8005,-0.0014,25.7951,0.117,19,181,2,2625.7951,49.533
105,1,1,-6.7363,-0.0008,25.7974,0.1072,19,181,2,2625.7974,0.0023
105,1,1,-5.613,0.1541,26.0499,0.2059,26,184,2,2626.0499,0.2525
106,1,1,-7.8626,5.324,26.0378,0.2336,12,278,2,2651.0378,24.9879
107,1,1,-9.8049,3.1362,26.1567,0.2888,1,238,2,2676.1567,25.1189
111,1,2,-6.5459,-7.7275,26.1598,0.4209,20,41,2,2776.1598,100.0031
112,1,1,-7.1251,-6.6989,25.8417,0.2533,17,60,2,2800.8417,24.6819
113,1,2,-7.707,-1.1324,25.9473,0.2137,13,161,2,2825.9473,25.1056
113,1,2,-5.2655,4.3231,25.9974,0.2815,28,260,2,2825.9974,0.0501
113,1,1,-5.2303,-3.5191,26.0932,0.2145,28,117,2,2826.0932,0.0958
114,1,2,-9.0751,2.6426,26.0955,0.5263,5,229,2,2851.0955,25.0023
116,1,1,-7.2586,-7.976,26.2201,0.2052,16,36,2,2901.2201,50.1246
116,1,2,-6.7099,-0.9552,26.2942,0.241,19,164,2,2901.2942,0.0741
117,1,1,-8.7748,-9.7531,25.8065,0.2454,7,4,2,2925.8065,24.5123
117,1,1,-7.6052,3.2466,25.9819,0.223,14,240,2,2925.9819,0.1754
119,1,2,-6.8937,5.0725,26.3578,0.1982,18,274,2,2976.3578,50.3759
120,1,1,-5.2637,-4.5425,25.8529,0.6861,28,99,2,3000.8529,24.4951
121,1,2,-7.1492,-2.9643,26.3628,0.222,17,127,2,3026.3628,25.5099
122,1,2,-7.7506,0.9487,26.0142,0.2839,13,199,2,3051.0142,24.6514
122,1,2,-8.4375,6.7913,26.1302,0.352,9,305,2,3051.1302,0.116
123,1,1,-7.0544,1.1878,26.1078,0.2379,17,203,2,3076.1078,24.9776
126,1,2,-9.246,-3.5744,25.9726,0.2435,4,116,2,3150.9726,74.8648
126,1,2,-5.4992,-9.5188,26.1712,0.2185,27,8,2,3151.1711999999998,0.1986
127,1,2,-8.0383,-3.6548,26.1935,0.5299,11,115,2,3176.1935,25.0223
130,1,1,-9.4052,-3.3538,26.1056,0.2449,3,120,2,3251.1056,74.9121
131,1,1,-7.2562,-9.5831,25.8901,0.2168,16,7,2,3275.8901,24.7845
131,1,2,-9.7547,2.5355,25.9613,0.2041,1,227,2,3275.9613,0.0712
132,1,1,-5.4234,-5.0628,26.0177,0.2671,27,89,2,3301.0177,25.0564
134,1,2,-9.5366,2.7917,26.2025,0.2161,2,232,2,3351.2025,50.1848
134,1,2,-7.7497,-1.166,26.2135,0.3266,13,160,2,3351.2135,0.011
136,1,1,-9.508,-8.1687,25.8796,0.353,2,33,2,3400.8796,49.6661
140,1,1,-6.6171,7.2138,26.1075,0.0401,20,312,2,3501.1075,100.2279
143,1,2,-8.5403,-2.3205,26.2615,0.2184,8,139,2,3576.2615,75.154
145,1,1,-9.6918,-4.7647,26.142,0.2414,1,95,2,3626.142,49.8805
146,1,2,-6.308,0.6893,26.3219,0.2097,22,194,2,3651.3219,25.1799
146,1,2,-5.8213,0.5046,26.3227,0.4379,25,190,2,3651.3227,0.0008
146,1,2,-8.0477,-4.3581,26.4404,0.2347,11,102,2,3651.4404,0.1177
149,1,1,-7.8112,0.792,26.0213,0.2362,13,196,2,3726.0213,74.5809
149,1,1,-6.9189,4.7737,26.1225,0.1994,18,268,2,3726.1225,0.1012
150,1,1,-8.1037,-3.1963,26.0593,0.2157,11,123,2,3751.0593,24.9368
150,1,1,-8.117,-3.1949,26.0593,0.2366,11,123,2,3751.0593,0.0
151,1,1,-9.3719,-3.5338,25.9602,0.1913,3,117,2,3775.9602,24.9009
151,1,1,-5.4483,-1.794,26.2567,0.291,27,149,2,3776.2567,0.2965
153,1,1,-7.5124,-1.361,26.1738,0.2343,15,157,2,3826.1738,49.9171
154,1,1,-7.9002,-2.1419,25.9278,0.2221,12,142,2,3850.9278,24.754
154,1,1,-7.8428,7.0946,26.1814,0.9074,13,310,2,3851.1814,0.2536
154,1,2,-8.3797,-6.7683,26.2053,0.2343,9,58,2,3851.2053,0.0239
155,1,2,-7.5741,-3.5776,26.1626,0.2198,14,116,2,3876.1626,24.9573
155,1,1,-7.3341,0.7123,26.3177,0.2702,16,194,2,3876.3177,0.1551
157,1,2,-8.0462,7.1531,26.3069,0.9719,11,311,2,3926.3069,49.9892
158,1,2,-6.49,2.2752,26.0466,0.2188,21,223,2,3951.0466,24.7397
158,1,1,-9.6739,5.092,26.2442,0.2864,1,274,2,3951.2442,0.1976
161,1,1,-9.8406,-6.3779,26.1555,0.2183,0,65,2,4026.1555,74.9113
165,1,2,-5.9233,7.2833,25.8801,0.297,24,314,2,4125.8801,99.7246
170,1,2,-5.4392,-7.8164,26.0089,0.2165,27,39,2,4251.0089,125.1288
170,1,1,-7.9667,-7.2848,26.037,0.2245,12,49,2,4251.037,0.0281
173,1,1,-9.6145,-0.2034,26.2941,0.2197,2,178,2,4326.2941,75.2571
175,1,1,-9.7114,4.1206,25.7755,0.2811,1,256,2,4375.7755,49.4814
176,1,2,-5.9158,-4.3789,26.0794,0.1945,24,102,2,4401.0794,25.3039
179,1,1,-9.9572,-4.3594,25.9692,0.2441,0,102,2,4475.9692,74.8898
179,1,1,-7.2272,-2.9291,26.3313,0.2766,16,128,2,4476.3313,0.3621
180,1,2,-9.4961,-5.0357,25.9731,0.2876,3,90,2,4500.9731,24.6418
180,1,1,-9.0468,-1.5623,26.04,0.2096,5,153,2,4501.04,0.0669
180,1,2,-8.4571,-6.6545,26.1324,0.2085,9,60,2,4501.1324,0.0924
180,1,2,-7.0953,0.9755,26.3168,0.2114,17,199,2,4501.3168,0.1844
181,1,2,-6.32,4.9552,26.0052,0.2413,22,271,2,4526.0052,24.6884
182,1,2,-7.5061,-6.81,26.1609,0.2061,15,58,2,4551.1609,25.1557
183,1,2,-5.8156,-9.1563,26.0607,0.4049,25,15,2,4576.0607,24.8998
183,1,1,-7.3387,3.9083,26.2233,0.2746,16,252,2,4576.2233,0.1626
184,1,1,-6.7593,-5.7091,26.3674,0.1783,19,78,2,4601.3674,25.1441
185,1,2,-7.3986,-0.5724,25.8938,0.2443,15,171,2,4625.8938,24.5264
185,1,1,-7.5932,6.5107,25.8964,0.2542,14,300,2,4625.8964,0.0026
185,1,2,-7.0735,2.2571,26.1333,0.4111,17,222,2,4626.1333,0.2369
186,1,1,-5.6213,7.0871,26.263,3.2754,26,310,2,4651.263,25.1297
188,1,2,-6.9012,-4.5842,25.9706,0.2668,18,98,2,4700.9706,49.7076
189,1,2,-5.3893,-5.1183,26.3888,0.2651,27,88,2,4726.3888,25.4182
189,1,2,-5.7468,1.6911,26.4892,0.3911,25,212,2,4726.4892,0.1004
190,1,1,-7.9208,-7.8669,26.2463,0.2864,12,38,2,4751.2463,24.7571
192,1,2,-9.8707,-2.8303,27.3217,0.3289,0,130,2,4802.3217,51.0754
193,1,1,-6.172,-6.2387,26.1998,0.221,23,68,2,4826.1998,23.8781
196,1,2,-6.5347,-2.9559,26.1837,0.2623,21,128,2,4901.1837,74.9839
199,1,1,-5.7716,5.3589,26.1767,0.2438,25,279,2,4976.1767,74.993
201,1,1,-5.7155,6.3319,25.9973,0.2604,25,296,2,5025.9973,49.8206
201,1,2,-8.4549,-5.8944,26.0496,0.2845,9,74,2,5026.0496,0.0523
203,1,2,-7.722,-0.7627,26.3249,0.4313,13,167,2,5076.3249,50.2753
204,1,1,-7.2116,-3.228,26.0187,0.219,16,123,2,5101.0187,24.6938
204,1,1,-8.535,4.2312,26.071,0.2201,8,258,2,5101.071,0.0523
206,1,2,-6.7144,-0.9822,26.2515,0.3771,19,163,2,5151.2515,50.1805
206,1,2,-8.0853,-1.6828,26.3701,0.2155,11,151,2,5151.3701,0.1186
207,1,2,-5.813,-3.9773,25.7602,0.1928,25,109,2,5175.7602,24.3901
