Event,Layer,Quadrant,X,Y,ToF,Energy,Col,Row,ToT,ToH,Twait
120330,1,1,-9.2522,1.7159,29.1258,0,4,213,2,3008254.1258,152.7176
120330,1,1,-8.6266,6.5612,29.6908,0,8,301,2,3008254.6908,0.565
120454,1,1,-8.3807,1.7028,26.1925,0,9,212,2,3011351.1925,3096.5017
120486,1,1,-8.6441,-0.4665,26.2222,0,8,173,2,3012151.2222,800.0297
120521,1,1,-6.6424,1.9013,27.2177,0,20,216,2,3013027.2177,875.9955
120537,1,1,-6.196,1.9963,27.6725,0,23,218,2,3013427.6725,400.4548
120614,1,1,-7.8051,6.0428,30.0722,0,13,291,2,3015355.0722,1927.3997
120665,1,1,-9.3054,-7.7275,26.8195,0,4,41,2,3016626.8195,1271.7473
120733,1,1,-7.5615,7.5262,30.9448,0,14,318,2,3018330.9448,1704.1253
120740,1,1,-6.028,-4.1253,27.7677,0,24,106,2,3018502.7677,171.8229
120751,1,1,-9.032,-1.9889,28.835,0,5,145,2,3018778.835,276.0673
120760,1,1,-5.424,6.3011,30.6082,0,27,296,2,3019005.6082,226.7732
120796,1,1,-8.9691,-0.5767,30.6267,0,6,171,2,3019905.6267,900.0185
120830,1,1,-8.1152,6.073,27.9955,0,11,292,2,3020752.9955,847.3688
120830,1,1,-7.7634,-5.9849,30.9118,0,13,73,2,3020755.9118,2.9163
120873,1,1,-9.8507,-1.8663,29.0908,0,0,147,2,3021829.0908,1073.179
120953,1,1,-8.9199,-7.2588,27.2093,0,6,49,2,3023827.2093,1998.1185
121033,1,1,-6.0946,3.1065,27.6428,0,23,238,2,3025827.6428,2000.4335
121138,1,1,-8.1201,-5.8922,29.3394,0,11,74,2,3028454.3394,2626.6966
121151,1,1,-9.645,-2.0653,26.7661,0,2,144,2,3028776.7661,322.4267
121279,1,1,-7.6073,-5.8158,26.0143,0,14,76,2,3031976.0143,3199.2482
121312,1,1,-5.5635,-1.5205,29.0673,0,26,154,2,3032804.0673,828.053
121341,1,1,-7.8941,2.9731,26.0413,0,12,235,2,3033526.0413,721.974
121348,1,1,-9.1842,-1.6203,30.885,0,4,152,2,3033705.885,179.8437
121356,1,1,-7.74,-1.188,27.5577,0,13,160,2,3033902.5577,196.6727
121377,1,1,-7.9698,0.53,26.4622,0,12,191,2,3034426.4622,523.9045
121467,1,1,-8.3497,-9.9017,28.4156,0,10,1,2,3036678.4156,2251.9534
121504,1,1,-9.0041,-4.9869,30.8742,0,6,91,2,3037605.8742,927.4586
121595,1,1,-6.7275,-6.4449,26.8873,0,19,64,2,3039876.8873,2271.0131
121618,1,1,-8.8687,6.5163,28.3274,0,6,300,2,3040453.3274,576.4401
121628,1,1,-6.1476,-1.0296,30.9599,0,23,163,2,3040705.9599,252.6325
121647,1,1,-6.9396,-9.0872,30.0326,0,18,16,2,3041180.0326,474.0727
121686,1,1,-8.6988,1.8513,26.3039,0,7,215,2,3042151.3039,971.2713
121705,1,1,-6.9921,4.1635,26.7036,0,18,257,2,3042626.7036,475.3997
121706,1,1,-9.6901,-7.4234,27.4926,0,1,46,2,3042652.4926,25.789
121726,1,1,-8.847,-7.0876,27.4494,0,6,52,2,3043152.4494,499.9568
121747,1,1,-7.925,4.8263,29.3783,0,12,269,2,3043679.3783,526.9289
121764,1,1,-8.5033,-9.023,27.8732,0,9,17,2,3044102.8732,423.4949
121775,1,1,-8.293,2.3443,30.2155,0,10,224,2,3044380.2155,277.3423
121797,1,1,-9.4948,7.5505,26.2895,0,3,319,2,3044926.2895,546.074
121884,1,1,-9.0155,-5.6411,28.1963,0,5,79,2,3047103.1963,2176.9068
122007,1,1,-8.7749,-2.7849,26.6396,0,7,131,2,3050176.6396,3073.4433
122034,1,1,-6.8199,2.689,28.7079,0,19,230,2,3050853.7079,677.0683
122044,1,1,-6.2237,-6.5488,30.7326,0,22,62,2,3051105.7326,252.0247
122149,1,1,-5.5291,0.8387,28.2071,0,27,197,2,3053728.2071,2622.4745
122184,1,1,-9.711,7.3304,28.8769,0,1,315,2,3054603.8769,875.6698
122221,1,1,-6.3335,7.072,26.3442,0,22,310,2,3055526.3442,922.4673
122226,1,1,-6.8536,3.4409,30.574,0,19,244,2,3055655.574,129.2298
122227,1,1,-5.8637,7.3753,26.129,0,25,315,2,3055676.129,20.555
122265,1,1,-7.5787,-8.6785,26.8024,0,14,24,2,3056626.8024,950.6734
122348,1,1,-9.6349,-8.5519,27.7347,0,2,26,2,3058702.7347,2075.9323
122377,1,1,-9.0782,3.407,29.3404,0,5,243,2,3059429.3404,726.6057
122394,1,1,-7.2259,3.6345,26.16,0,16,247,2,3059851.16,421.8196
122409,1,1,-5.4165,-3.1678,28.1143,0,27,124,2,3060228.1143,376.9543
122491,1,1,-9.7827,-5.7926,28.2738,0,1,76,2,3062278.2738,2050.1595
122511,1,1,-9.3018,-4.6509,30.463,0,4,97,2,3062780.463,502.1892
122516,1,1,-7.7552,6.1712,30.6173,0,13,294,2,3062905.6173,125.1543
122567,1,1,-7.8927,-2.3745,27.1182,0,12,138,2,3064177.1182,1271.5009
122576,1,1,-7.6022,-0.4018,26.3556,0,14,174,2,3064401.3556,224.2374
122588,1,1,-8.0329,1.8153,30.6249,0,11,214,2,3064705.6249,304.2693
122607,1,1,-7.2374,2.3764,27.2827,0,16,225,2,3065177.2827,471.6578
122611,1,1,-7.1574,4.0096,29.6068,0,17,254,2,3065279.6068,102.3241
122623,1,1,-6.0269,-3.3993,29.5717,0,24,120,2,3065579.5717,299.9649
122742,1,1,-7.1779,-9.1447,27.5378,0,17,15,2,3068552.5378,2972.9661
122754,1,1,-9.4528,-6.382,30.8229,0,3,65,2,3068855.8229,303.2851
122765,1,1,-8.7597,-7.7401,27.2735,0,7,41,2,3069127.2735,271.4506
122783,1,1,-5.8577,-7.2331,28.9986,0,25,50,2,3069578.9986,451.7251
122848,1,1,-7.8049,4.8374,27.5135,0,13,269,2,3071202.5135,1623.5149
122854,1,1,-6.2485,5.0645,27.5108,0,22,273,2,3071352.5108,149.9973
122877,1,1,-9.5631,-3.9323,29.8199,0,2,110,2,3071929.8199,577.3091
122878,1,1,-6.4819,-5.0312,28.676,0,21,90,2,3071953.676,23.8561
122921,1,1,-8.5021,2.0208,30.2782,0,9,218,2,3073030.2782,1076.6022
122975,1,1,-8.9696,0.4006,30.7292,0,6,189,2,3074380.7292,1350.451
123003,1,1,-9.9964,-1.4838,26.8174,0,0,154,2,3075076.8174,696.0882
123185,1,1,-9.918,0.8497,29.3223,0,0,197,2,3079629.3223,4552.5049
123293,1,1,-8.6237,-9.7183,28.8937,0,8,5,2,3082328.8937,2699.5714
123407,1,1,-5.359,-3.6871,29.9949,0,28,114,2,3085179.9949,2851.1012
123551,1,1,-9.6651,2.2262,27.6558,0,2,222,2,3088777.6558,3597.6609
123628,1,1,-7.4147,-4.476,26.6855,0,15,100,2,3090701.6855,1924.0297
123635,1,1,-8.8031,-9.5588,28.256,0,7,8,2,3090878.256,176.5705
123681,1,1,-7.285,0.6046,26.2519,0,16,192,2,3092026.2519,1147.9959
123716,1,1,-5.2327,2.8457,28.9551,0,28,233,2,3092903.9551,877.7032
123736,1,1,-7.7003,-6.8225,27.9784,0,13,57,2,3093402.9784,499.0233
123758,1,1,-8.0928,1.0454,30.0046,0,11,200,2,3093955.0046,552.0262
123857,1,1,-6.3433,1.2849,30.6906,0,22,205,2,3096430.6906,2475.686
123864,1,1,-7.883,4.6605,26.498,0,12,266,2,3096601.498,170.8074
123963,1,1,-9.2985,-1.0386,27.8274,0,4,162,2,3099077.8274,2476.3294
124054,1,1,-8.1065,0.8194,28.006,0,11,196,2,3101353.006,2275.1786
124095,1,1,-6.2896,-9.4886,26.7438,0,22,9,2,3102376.7438,1023.7378
124117,1,1,-9.9545,-9.3249,29.87,0,0,12,2,3102929.87,553.1262
124169,1,1,-5.8829,0.4045,28.8861,0,24,189,2,3104228.8861,1299.0161
124175,1,1,-7.8684,6.5508,26.7452,0,12,300,2,3104376.7452,147.8591
124247,1,1,-9.767,-2.648,29.8207,0,1,133,2,3106179.8207,1803.0755
124267,1,1,-9.8691,-5.9034,26.1886,0,0,74,2,3106676.1886,496.3679
124352,1,1,-9.1886,2.1449,27.5404,0,4,220,2,3108802.5404,2126.3518
124372,1,1,-5.2294,-2.983,27.0893,0,28,127,2,3109302.0893,499.5489
124377,1,1,-6.0271,4.0785,27.7139,0,24,255,2,3109427.7139,125.6246
124431,1,1,-8.256,-8.7851,30.3636,0,10,22,2,3110780.3636,1352.6497
124504,1,1,-6.4619,0.4558,28.7901,0,21,190,2,3112603.7901,1823.4265
124537,1,1,-7.6242,-3.1981,29.4107,0,14,123,2,3113429.4107,825.6206
124548,1,1,-6.8778,-0.931,30.2321,0,18,164,2,3113705.2321,275.8214
124591,1,1,-5.7339,-9.4765,30.7136,0,25,9,2,3114780.7136,1075.4815
