Event,Layer,Quadrant,X,Y,ToF,Energy,Col,Row,ToT,ToH,Twait
46,1,1,-6.1144,-4.7077,26.1247,0.2873,23,96,5,1151.1247,0.0456
46,1,1,-6.209,0.7419,26.2316,0.9091,22,195,5,1151.2316,0.1069
47,1,2,-6.1004,-1.429,26.0262,0.2456,23,155,5,1176.0262,24.7946
47,1,2,-5.2454,4.1441,26.0654,0.3028,28,257,5,1176.0654,0.0392
48,1,2,-7.3928,3.7442,26.0018,0.224,15,249,5,1201.0018,24.9364
50,1,2,-8.8314,4.0496,26.0574,0.39,7,255,5,1251.0574,50.0556
53,1,2,-5.476,-7.6141,25.9766,0.2328,27,43,5,1325.9766,74.9192
53,1,2,-5.4761,-7.6139,25.9766,0.1897,27,43,5,1325.9766,0.0
53,1,1,-7.0642,-2.159,26.012,0.3537,17,142,5,1326.012,0.0354
53,1,1,-7.5821,-0.824,26.1764,0.2373,14,166,5,1326.1764,0.1644
54,1,1,-6.2909,7.2604,26.1272,0.2498,22,313,5,1351.1272,24.9508
55,1,3,-5.6122,5.3349,26.2252,0.2377,26,278,5,1376.2252,25.098
55,1,1,-8.952,-9.413,26.2615,0.0411,6,10,5,1376.2615,0.0363
56,1,3,-9.4396,-7.9778,26.1579,0.2263,3,36,5,1401.1579,24.8964
57,1,3,-7.525,2.0493,25.9783,0.1885,14,219,5,1425.9783,24.8204
57,1,2,-9.7914,-9.6468,25.9836,0.208,1,6,5,1425.9836,0.0053
57,1,1,-5.6387,-2.7733,26.0995,0.2933,26,131,5,1426.0995,0.1159
57,1,1,-6.3402,-5.9465,26.1404,0.2724,22,73,5,1426.1404,0.0409
58,1,1,-6.433,4.3528,25.9543,0.2807,21,260,5,1450.9543,24.8139
58,1,2,-6.3822,1.1136,26.5102,0.2458,21,202,5,1451.5102,0.5559
58,1,2,-5.2316,-9.0528,27.5685,0.2627,28,17,5,1452.5685,1.0583
59,1,2,-5.8449,-4.7563,26.0009,0.2073,25,95,5,1476.0009,23.4324
62,1,2,-8.5063,-7.8578,26.0178,0.2221,9,38,5,1551.0178,75.0169
63,1,2,-7.3356,-6.4559,26.0674,0.0795,16,64,5,1576.0674,25.0496
63,1,2,-7.3164,-6.4555,26.0689,0.2371,16,64,5,1576.0689,0.0015
66,1,1,-9.4582,-7.746,26.2507,0.2212,3,40,5,1651.2507,75.1818
66,1,2,-5.345,4.5574,26.4164,0.3166,28,264,5,1651.4164,0.1657
68,1,1,-7.0766,-8.2376,26.4019,0.4523,17,32,5,1701.4019,49.9855
