Event,Layer,Quadrant,X,Y,ToF,Energy,Col,Row,ToT,ToH,Twait
100,1,1,-7.5916,6.2899,28.7573,1.7306,14,296,5,2503.7573,24.3062
102,1,1,-8.0091,-5.8606,27.3526,1.0118,12,75,5,2552.3526,48.5953
102,1,1,-9.5219,4.6939,28.6778,0.9285,2,267,5,2553.6778,1.3252
105,1,1,-6.7301,4.3528,26.6821,1.4921,19,260,5,2626.6821,73.0043
108,1,1,-9.732,6.4785,26.205,0.4647,1,299,5,2701.205,74.5229
110,1,1,-6.9232,-0.0724,30.3323,0.6318,18,180,5,2755.3323,54.1273
111,1,1,-6.7897,-9.2795,29.1971,0.4319,19,13,5,2779.1971,23.8648
111,1,1,-9.3449,0.7318,30.578,1.7196,3,195,5,2780.578,1.3809
112,1,1,-6.4952,-0.5364,27.7612,1.3572,21,172,5,2802.7612,22.1832
113,1,1,-9.7809,6.9818,30.0331,1.3745,1,308,5,2830.0331,27.2719
114,1,1,-9.1671,6.4443,27.6914,1.7666,5,298,5,2852.6914,22.6583
114,1,1,-9.4714,0.3863,28.6315,0.5813,3,188,5,2853.6315,0.9401
115,1,1,-5.6572,2.9419,27.0603,1.6772,26,235,5,2877.0603,23.4288
115,1,1,-8.7816,-0.2897,27.4908,1.6721,7,176,5,2877.4908,0.4305
117,1,1,-7.1566,7.5304,29.363,0.4496,17,318,5,2929.363,51.8722
119,1,1,-7.0102,-7.8485,26.1471,1.1853,18,39,5,2976.1471,46.7841
119,1,1,-6.7537,3.5854,29.8205,1.8454,19,247,5,2979.8205,3.6734
122,1,1,-6.8981,0.5887,30.5023,0.35,18,192,5,3055.5023,75.6818
125,1,1,-8.8371,7.4254,27.4852,0.9389,7,316,5,3127.4852,71.9829
127,1,1,-9.2599,-7.71,26.584,0.3822,4,41,5,3176.584,49.0988
128,1,1,-6.2913,-5.8912,27.7278,0.4362,22,74,5,3202.7278,26.1438
128,1,1,-7.4622,-1.031,29.0165,1.9121,15,163,5,3204.0165,1.2887
129,1,1,-6.8536,4.3296,29.2525,0.5814,19,260,5,3229.2525,25.236
130,1,1,-9.3126,-8.4721,26.9288,1.9445,4,27,5,3251.9288,22.6763
131,1,1,-6.9937,7.4125,29.8172,0.4385,18,316,5,3279.8172,27.8884
134,1,1,-6.1811,5.6783,26.4998,0.5427,23,285,5,3351.4998,71.6826
135,1,1,-8.0177,-1.4711,27.1619,1.0234,12,155,5,3377.1619,25.6621
135,1,1,-7.3605,-4.5737,29.9603,0.1363,15,98,5,3379.9603,2.7984
136,1,1,-5.625,-4.1496,27.0148,1.4909,26,106,5,3402.0148,22.0545
136,1,1,-6.221,-4.7697,30.8383,1.1122,22,95,5,3405.8383,3.8235
136,1,1,-8.5759,1.1619,30.8963,0.7649,8,202,5,3405.8963,0.058
138,1,1,-8.7375,-4.2217,29.2149,1.8787,7,105,5,3454.2149,48.3186
139,1,1,-7.113,-7.0267,29.3257,0.4319,17,54,5,3479.3257,25.1108
141,1,1,-9.5513,1.8811,27.934,0.4887,2,216,5,3527.934,48.6083
142,1,1,-5.4954,3.9846,27.1753,0.8636,27,254,5,3552.1753,24.2413
142,1,1,-7.0456,-5.1823,28.3075,1.0121,17,87,5,3553.3075,1.1322
146,1,1,-5.5707,-3.8787,27.8246,0.6794,26,111,5,3652.8246,99.5171
147,1,1,-6.1526,2.8881,28.4654,0.5307,23,234,5,3678.4654,25.6408
147,1,1,-7.2233,-3.7871,28.4934,1.0267,16,112,5,3678.4934,0.028
