#Simulation runs: 5000-5100
#Sensor Centre Position : x0 = 146 	y0 = 12
#Sensor Dimensions : width (x edge-to-edge) = 20 	height (y edge-to-edge) = 20
#All distances in units of mm
#Quadrant Definition: (x,y) : (+,+) := Quad 1 	(-,+) := Quad 2 	(-,-) := Quad 3 	(+,-) := Quad 4.
#Assumed symmetry: The corresponding sensor in each quadrant has been reflected (x,y)->(x_sym,y_sym)=(|x|,|y|) into Quad 1 (or the Quadrant containing (x0,y0)) before taking local coordinates (x_sym-x0,y_sym-y0) to obtain 4-fold increase in statistics.
#Note that where symmetry has been exploited	the original quadrant is specified for each entry	allowing original whole-detector spatial coordinates (x,y) to be reconstructed.
#The unique event number identifies a distinct event (in a distinct run) in the simulation.
#Energy: Energy deposited by the particle generating the hit as it traverses the SciFi composite material. Units of MeV.
#Time: Time of flight	with start at p-p collision within bunch (not the time of bunch centre). Units of ns.
#unq_evt_num	layer	Quadrant	x_sym-x0	y_sym-y0	t_coll	energy
2	5	2	-5.2796	-8.6832	30.5277	0.2737
2	6	2	-4.8517	-7.1188	31.2276	0.2499
2	2	3	-4.8926	-3.9564	26.6725	0.3301
2	2	3	-7.2478	-6.8381	26.6675	0.2381
2	2	3	-6.2891	2.2914	26.6706	0.4994
2	3	2	4.7689	8.3134	28.5302	0.3338
2	3	2	-5.5687	5.3581	28.2751	0.0665
2	3	2	-5.5687	5.3581	28.2751	0.0755
2	4	2	6.5400	9.3071	28.9735	0.2144
2	2	3	-6.1990	2.1520	26.6704	0.6996
2	2	4	-0.4692	0.7368	27.2187	0.5530
2	1	1	-0.4380	7.2298	25.8540	0.2332
2	6	4	-6.3883	-7.6781	31.1053	0.2368
2	4	1	5.9360	-6.9926	28.8186	0.2760
2	4	1	3.3552	-3.7355	28.8186	0.3844
2	6	2	-5.6771	-5.1428	31.3525	0.2215
3	6	4	5.8932	6.0496	31.4628	0.4107
3	6	4	-0.3125	2.4572	31.4363	0.1040
3	5	2	-5.4427	-4.6068	30.6845	0.2293
3	6	2	2.3127	-4.4354	31.3848	0.5263
3	5	3	-4.2611	-0.8692	31.1510	0.3562
3	6	3	2.8784	-6.5966	32.0555	0.3184
3	1	2	7.1951	6.7457	26.1856	0.2493
3	5	2	-4.9885	-6.3661	30.5957	0.2071
3	6	2	0.1237	-6.2039	31.2958	0.2062
3	3	2	4.0690	6.4587	28.4670	0.2398
3	2	3	-5.7048	7.7745	26.8388	0.2307
3	1	3	-5.9280	2.6366	26.1360	0.2315
3	2	3	6.1053	3.1303	26.8371	0.2014
3	1	2	6.4059	-8.4136	26.1542	0.6174
3	2	2	-4.4658	-8.3429	26.8550	0.2780
3	2	1	-6.3297	6.3604	26.8319	0.6035
3	3	1	7.2619	7.4264	28.4077	0.2760
3	5	2	-1.1542	7.6226	30.5251	0.2486
3	6	2	7.2544	8.0335	31.2254	0.2313
3	4	4	-3.6571	-3.6637	28.8499	0.2161
3	5	4	6.9069	-2.7452	30.4354	0.2051
3	6	1	7.9191	9.2156	31.3037	0.2907
3	2	1	-2.8435	4.3514	26.6063	0.3554
3	5	3	0.3339	-6.2930	30.4448	0.2375
3	6	3	6.8324	-6.1683	31.1451	0.2287
3	3	3	-6.2875	-4.5828	28.5660	0.2324
3	4	3	1.9736	-4.1825	29.2664	0.2486
3	6	1	-1.6259	9.8427	30.9743	0.6203
3	4	3	-6.7239	4.7718	29.1186	0.2112
3	3	2	-5.7201	-3.8498	28.4273	0.2073
